id,name,email,geography,employment_type,loan_purpose,loan_amount,monthly_income,outstanding_balance,tenure_months
0bd13385-ea3c-4830-837e-f29fad38e4d5,Allison Hill,donaldgarcia@example.net,Asia,Self-Employed,Home,92393,9388.0,73914.40000000001,36
f01ff56a-067f-484e-b115-d81a8e396a32,Angie Henderson,davisjesse@example.net,Europe,Part-time,Education,131575,7630.75,105260.0,12
b8ec5394-7c00-4524-8ffc-9dc264ff9966,Cristian Santos,lrobinson@example.com,Asia,Part-time,Education,75417,6514.083333333333,60333.600000000006,12
f5c156c1-850a-4010-9f49-b25deb72f0c0,Abigail Shaffer,jpeterson@example.org,Europe,Part-time,Business,10804,5252.75,8643.2,24
29d1b5cf-c6d5-4006-8b54-eaa671631482,Gabrielle Davis,howardmaurice@example.com,Asia,Unemployed,Business,21182,2472.0833333333335,16945.600000000002,60
fee056af-f3c8-4e33-a2c9-09cbfd740c8d,Monica Herrera,smiller@example.net,North America,Salaried,Other,187008,8209.25,149606.4,36
1f21af30-9875-44fa-8f0f-b93f1149b219,Shannon Ray,williamsjeremy@example.com,Europe,Self-Employed,Business,159105,4117.583333333333,127284.0,60
3cd2b6b2-0130-47be-a493-a3b33fb87d33,Dr. Sharon James,xreid@example.org,Africa,Part-time,Business,173967,9801.416666666666,139173.6,12
76b377d9-0012-4aa5-9e51-1dc491709032,Daniel Adams,lynchgeorge@example.net,South America,Self-Employed,Home,41189,7872.75,32951.200000000004,36
af216c22-e5ef-4e97-9670-92416a6f2441,Joel Nelson,gabriellecameron@example.org,Africa,Self-Employed,Home,151275,7944.333333333333,121020.0,36
ce8145e3-5d42-47d7-a79b-d5fd746b47cf,Andrew Stewart,carl95@example.org,Africa,Self-Employed,Auto,178121,7549.25,142496.80000000002,12
8cb1fd4b-7c0a-4835-8e5c-c4e008dc8c90,Jennifer Rocha,ithomas@example.org,Africa,Self-Employed,Other,109990,10950.833333333334,87992.0,12
93dbb699-a362-46d2-858c-6afef556eea0,Kimberly Burgess,zhurst@example.com,Asia,Unemployed,Other,166291,4375.166666666667,133032.80000000002,60
166f51fa-c3a9-499e-a222-8190ecc4e687,Zachary Hicks,camposmichelle@example.org,Europe,Part-time,Business,124620,7235.25,99696.0,12
11d6e62f-6697-4824-97be-18190a495164,Rebecca Henderson,cruzcaitlin@example.com,South America,Unemployed,Education,222878,10648.5,178302.40000000002,24
